PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224393526,20065492,26,2020-04-05T16:44:00,"50 Block S 11th St Pittsburgh, PA 15203",N,South Side Flats,3,CRIMINAL TRESPASS,3503 Criminal Trespass,1702,3,3,-79.9876755376991,40.428967496273
224393908,20065468,6,2020-04-05T16:40:00,"6700 Block Thomas Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1405,9,2,-79.9113892120973,40.4546296288153
224406936,20065793,6,2020-03-31T12:05:00,"Woodlow St & Steuben St Pittsburgh, PA 15205",N,Crafton Heights,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2814,2,5,-80.0540390586931,40.4435497207642
224413652,20065819,14,2020-04-05T09:40:00,"7000 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1301,9,2,-79.9010876084501,40.4584818161404
224415165,20065850,26,2020-04-05T12:00:00,"700 Block Ivory Ave Pittsburgh, PA 15214",N,Perry North,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2602,1,1,-80.0050972143297,40.4953924067733
224417029,20065863,99,2020-04-06T10:58:00,"500 Block Junilla St Pittsburgh, PA 15219",Y,Middle Hill,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),501,6,3,-79.9707367991518,40.4463067662451
224417155,20065955,99,2020-04-06T13:46:00,"Heinz St & Saw Mill Way Pittsburgh, PA 15212",N,Troy Hill,1,FOUND PROPERTY,9489 Found Property,2406,1,1,-79.9910634920537,40.4539648519312
-3452000697,20066044,0,2020-04-06T16:45:00,"5300 Block Darlington Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9992 Governor's Order Violation,1413,5,3,-79.9340279473748,40.4376871578923
224430149,20066172,10,2020-04-06T20:44:00,"400 Block Mc Manus St Pittsburgh, PA 15210",Y,Mount Oliver,3,HARRASSMENT,2709(a) Harassment.,1607,3,0,-79.9811009503086,40.4099007602464
224431117,20066228,10,2020-04-06T22:45:00,"7200 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,HARRASSMENT,2709(a) Harassment.,1303,,,0,0
